,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,Havoysund,71.0,24.66,51.8,100,90,16.11,NO,2020-08-24 02:28:57
39,Progreso,21.28,-89.67,75.99,94,90,4.7,MX,2020-08-24 02:28:57
40,Boa Viagem,-5.13,-39.73,68.81,89,2,4.41,BR,2020-08-24 02:28:58
41,Ostersund,63.18,14.64,44.6,81,94,13.87,SE,2020-08-24 02:28:58
42,Clyde River,70.47,-68.59,41.88,89,100,3.11,CA,2020-08-24 02:28:58
43,Margate,51.38,1.39,61.0,77,84,1.01,GB,2020-08-24 02:28:58
44,Cockburn Town,21.46,-71.14,84.11,83,100,24.14,TC,2020-08-24 02:24:24
45,Bandarbeyla,9.49,50.81,75.36,71,89,29.35,SO,2020-08-24 02:28:59
46,Saint-Philippe,-21.36,55.77,69.8,59,42,5.82,RE,2020-08-24 02:28:59
47,Aksarayskiy,46.79,48.01,59.0,54,37,4.47,RU,2020-08-24 02:28:59
48,Maceio,-9.67,-35.74,68.0,94,20,2.24,BR,2020-08-24 02:24:33
49,Los Llanos De Aridane,28.66,-17.92,79.0,78,1,16.11,ES,2020-08-24 02:29:00
50,East London,-33.02,27.91,58.51,74,100,5.97,ZA,2020-08-24 02:29:00
51,Emba,48.83,58.14,61.79,61,84,10.47,KZ,2020-08-24 02:29:01
52,Port Elizabeth,-33.92,25.57,57.2,87,75,10.29,ZA,2020-08-24 02:29:01
53,Grand Gaube,-20.01,57.66,71.01,72,8,7.0,MU,2020-08-24 02:29:01
54,Bilma,18.69,12.92,90.39,39,87,18.81,NE,2020-08-24 02:29:01
55,Lakewood,39.7,-105.08,82.99,21,31,1.99,US,2020-08-24 02:25:10
56,Manakara,-22.13,48.02,62.91,92,8,6.24,MG,2020-08-24 02:29:02
57,Bud,39.45,-86.18,75.0,83,1,4.43,US,2020-08-24 02:29:02
58,Georgetown,5.41,100.34,84.2,79,20,5.82,MY,2020-08-24 02:28:10
59,Khambhat,22.3,72.62,77.0,100,90,6.93,IN,2020-08-24 02:29:02
60,Dwarka,22.24,68.97,83.1,82,100,20.62,IN,2020-08-24 02:29:03
61,Namibe,-15.2,12.15,64.35,92,93,1.1,AO,2020-08-24 02:29:03
62,Saquena,-4.67,-73.52,70.84,79,16,0.31,PE,2020-08-24 02:29:03
63,Melipilla,-33.7,-71.22,55.4,62,90,5.82,CL,2020-08-24 02:29:03
64,Portobelo,9.55,-79.65,80.6,94,40,4.7,PA,2020-08-24 02:29:04
65,Laurel,39.1,-76.85,75.99,78,1,4.68,US,2020-08-24 02:26:09
66,Luderitz,-26.65,15.16,55.51,74,0,8.9,NA,2020-08-24 02:24:17
67,Bereznik,62.86,42.71,58.55,92,99,5.84,RU,2020-08-24 02:29:04
68,Azanka,58.04,64.79,49.95,85,0,6.53,RU,2020-08-24 02:29:05
69,Sao Joao Da Barra,-21.64,-41.05,64.17,71,10,10.31,BR,2020-08-24 02:27:57
70,Tchollire,8.4,14.17,68.63,98,100,4.74,CM,2020-08-24 02:29:05
71,Araripe,-7.21,-40.05,71.55,59,40,12.64,BR,2020-08-24 02:29:06
72,Umm Kaddadah,13.6,26.69,78.87,64,100,7.56,SD,2020-08-24 02:29:06
73,Mullingar,53.53,-7.35,53.01,100,40,4.7,IE,2020-08-24 02:29:06
74,Bredasdorp,-34.53,20.04,55.4,93,100,2.24,ZA,2020-08-24 02:29:06
75,Vila Velha,-20.33,-40.29,66.99,77,5,11.41,BR,2020-08-24 02:29:06
76,Tanout,14.97,8.89,83.34,54,22,8.21,NE,2020-08-24 02:29:07
77,Bambous Virieux,-20.34,57.76,71.6,73,40,16.11,MU,2020-08-24 02:29:07
78,Victoria,22.29,114.16,91.0,70,0,5.01,HK,2020-08-24 02:29:07
79,Sisimiut,66.94,-53.67,44.29,86,37,4.03,GL,2020-08-24 02:29:07
80,Rio Grande,-32.03,-52.1,55.0,94,0,13.78,BR,2020-08-24 02:24:43
81,Kutum,14.2,24.67,69.12,77,100,18.63,SD,2020-08-24 02:29:08
82,Wattegama,6.8,81.48,80.6,94,20,5.82,LK,2020-08-24 02:29:08
83,Tromso,69.65,18.96,50.0,87,90,11.41,NO,2020-08-24 02:29:08
84,Coquimbo,-29.95,-71.34,55.4,62,94,8.21,CL,2020-08-24 02:29:08
85,Vizinga,61.07,50.1,57.38,95,100,2.3,RU,2020-08-24 02:29:08
86,Cambuci,-21.58,-41.91,61.56,78,66,1.48,BR,2020-08-24 02:29:09
87,Bhainsa,26.95,76.9,79.0,88,64,8.5,IN,2020-08-24 02:29:09
88,Saldanha,-33.01,17.94,50.0,93,86,5.82,ZA,2020-08-24 02:29:09
89,Rosario,-32.95,-60.64,61.0,54,0,10.29,AR,2020-08-24 02:24:10
90,Pitsunda,43.16,40.34,64.4,72,0,4.47,GE,2020-08-24 02:29:10
91,Radeberg,51.12,13.92,59.0,72,0,5.82,DE,2020-08-24 02:29:10
92,Bogashevo,56.37,85.14,57.0,100,75,4.47,RU,2020-08-24 02:29:10
93,Kalmunai,7.42,81.82,81.43,68,85,7.78,LK,2020-08-24 02:29:10
94,Manta,-0.95,-80.73,69.8,88,90,9.17,EC,2020-08-24 02:24:11
95,Porbandar,21.64,69.61,81.88,84,100,20.49,IN,2020-08-24 02:29:11
96,Kanadukathan,10.18,78.78,80.6,83,40,4.7,IN,2020-08-24 02:29:11
97,Elizabeth City,36.29,-76.25,80.6,88,1,5.82,US,2020-08-24 02:28:21
98,Natal,-5.79,-35.21,73.4,88,20,6.93,BR,2020-08-24 02:26:13
99,Salalah,17.02,54.09,75.2,100,90,6.93,OM,2020-08-24 02:29:12
100,Mbeya,-8.9,33.45,53.98,90,34,6.31,TZ,2020-08-24 02:29:12
101,San Andres,12.58,-81.7,80.6,88,40,0.27,CO,2020-08-24 02:29:12
102,Tucupita,9.06,-62.05,74.25,97,83,2.82,VE,2020-08-24 02:29:13
103,Lebu,-37.62,-73.65,50.56,91,100,18.21,CL,2020-08-24 02:29:13
104,Valdemarpils,57.37,22.59,64.4,77,20,13.87,LV,2020-08-24 02:29:13
105,Mehamn,71.04,27.85,53.24,91,100,15.97,NO,2020-08-24 02:29:13
106,Dingle,11.0,122.67,85.57,72,0,3.74,PH,2020-08-24 02:29:14
107,Hithadhoo,-0.6,73.08,82.31,80,100,14.47,MV,2020-08-24 02:29:14
108,Ribeira Grande,38.52,-28.7,73.06,89,0,13.06,PT,2020-08-24 02:29:14
109,Chuy,-33.7,-53.46,53.62,88,0,10.33,UY,2020-08-24 02:29:14
110,Taoudenni,22.68,-3.98,96.67,10,0,8.14,ML,2020-08-24 02:29:14
111,Castro,-24.79,-50.01,47.03,94,44,11.86,BR,2020-08-24 02:29:15
112,Numan,9.47,12.03,71.82,94,100,2.3,NG,2020-08-24 02:29:15
113,Gemena,3.25,19.77,69.87,91,100,2.19,CD,2020-08-24 02:29:15
114,Vila Franca Do Campo,37.72,-25.43,69.8,88,20,4.7,PT,2020-08-24 02:29:15
115,Orshanka,56.92,47.89,55.04,85,91,5.77,RU,2020-08-24 02:29:16
116,Paamiut,61.99,-49.67,42.06,92,30,7.72,GL,2020-08-24 02:29:16
117,Holeby,54.71,11.46,63.0,92,5,13.18,DK,2020-08-24 02:29:16
118,Pizarro,4.95,-77.37,76.84,89,100,6.85,CO,2020-08-24 02:29:17
119,Vardo,70.37,31.11,53.22,92,100,8.59,NO,2020-08-24 02:29:17
120,Ayolas,-27.4,-56.9,62.44,66,53,9.44,PY,2020-08-24 02:29:17
121,Cobija,-11.03,-68.77,69.01,61,0,0.11,BO,2020-08-24 02:29:17
122,Acarau,-2.89,-40.12,77.13,79,34,16.46,BR,2020-08-24 02:29:18
123,Sao Filipe,14.9,-24.5,79.09,86,97,10.07,CV,2020-08-24 02:29:18
124,Touros,-5.2,-35.46,73.4,88,20,4.7,BR,2020-08-24 02:29:18
125,Vestmannaeyjar,63.44,-20.27,51.85,74,6,4.41,IS,2020-08-24 02:29:18
126,Fray Bentos,-33.13,-58.3,57.99,63,0,5.99,UY,2020-08-24 02:29:19
127,Nadym,65.53,72.52,52.39,82,17,13.29,RU,2020-08-24 02:29:19
128,Barmer,25.75,71.38,81.19,74,98,9.95,IN,2020-08-24 02:29:19
129,Ambagarh Chauki,20.78,80.72,77.68,86,100,7.63,IN,2020-08-24 02:29:19
130,Narsaq,60.92,-46.05,44.6,75,20,4.7,GL,2020-08-24 02:29:20
131,San Cristobal,7.77,-72.22,66.4,92,95,3.91,VE,2020-08-24 02:29:20
132,Klaksvik,62.23,-6.59,44.6,93,94,16.13,FO,2020-08-24 02:29:20
133,Beira,-19.84,34.84,62.47,87,8,5.59,MZ,2020-08-24 02:27:34
134,Saint-Georges,12.06,-61.75,82.4,78,20,2.24,GD,2020-08-24 02:29:21
135,Upernavik,72.79,-56.15,44.02,80,100,3.11,GL,2020-08-24 02:29:21
136,Boksitogorsk,59.47,33.85,60.01,94,100,4.0,RU,2020-08-24 02:29:22
137,Ous,60.91,61.52,48.76,83,0,4.25,RU,2020-08-24 02:29:22
138,Quatre Cocos,-20.21,57.76,71.6,73,40,16.11,MU,2020-08-24 02:24:41
139,Gamba,-2.65,10.0,72.75,84,100,6.11,GA,2020-08-24 02:29:22
140,Cabedelo,-6.98,-34.83,69.8,94,76,3.36,BR,2020-08-24 02:24:32
141,Sechura,-5.56,-80.82,62.53,77,0,11.27,PE,2020-08-24 02:29:23
142,Port-De-Bouc,43.4,4.98,71.6,40,25,27.51,FR,2020-08-24 02:29:23
143,Shenavan,40.05,43.93,57.2,58,0,4.7,AM,2020-08-24 02:29:24
144,Liverpool,53.41,-2.98,59.0,93,40,14.99,GB,2020-08-24 02:29:06
145,Lancut,50.07,22.23,60.01,100,90,1.12,PL,2020-08-24 02:29:24
146,Bahia Honda,22.9,-83.16,81.97,86,32,10.71,CU,2020-08-24 02:29:24
147,Talnakh,69.49,88.4,60.8,77,100,17.9,RU,2020-08-24 02:29:25
148,Huarmey,-10.07,-78.15,60.33,85,6,8.57,PE,2020-08-24 02:29:25
149,Listowel,52.45,-9.48,57.2,87,90,3.36,IE,2020-08-24 02:29:25
150,Sihora,23.48,80.12,75.2,88,75,5.82,IN,2020-08-24 02:29:25
151,Valparaiso,-33.04,-71.63,54.0,64,100,11.52,CL,2020-08-24 02:26:32
152,Dungarvan,52.09,-7.63,59.0,94,100,1.01,IE,2020-08-24 02:29:26
153,Kalemie,-5.95,29.19,70.61,54,94,2.04,CD,2020-08-24 02:29:26
154,Norwalk,33.9,-118.08,84.2,54,1,4.7,US,2020-08-24 02:29:27
155,Marzuq,14.4,46.47,78.48,57,100,7.72,YE,2020-08-24 02:29:27
156,Ponta Delgada,37.73,-25.67,69.8,88,20,4.7,PT,2020-08-24 02:29:27
157,Codajas,-3.84,-62.06,75.74,57,0,1.3,BR,2020-08-24 02:29:28
158,Malanje,-9.54,16.34,60.66,93,27,1.72,AO,2020-08-24 02:29:28
159,Noyabrsk,63.2,75.45,54.12,92,91,5.08,RU,2020-08-24 02:29:28
160,Dzemul,21.2,-89.3,75.99,94,90,4.7,MX,2020-08-24 02:29:29
161,La Sarre,48.8,-79.2,57.0,77,63,5.97,CA,2020-08-24 02:29:29
162,Manavalakurichi,8.13,77.3,82.4,78,40,4.7,IN,2020-08-24 02:29:29
163,Cervo,43.67,-7.41,57.99,1,15,7.45,ES,2020-08-24 02:24:51
164,Lagoa,39.05,-27.98,73.02,88,0,15.64,PT,2020-08-24 02:29:29
165,Toamasina,-18.17,49.38,64.87,87,100,7.02,MG,2020-08-24 02:29:29
166,Iqaluit,63.75,-68.51,41.0,86,40,4.7,CA,2020-08-24 02:29:30
167,Wagar,16.15,36.2,82.62,64,60,17.02,SD,2020-08-24 02:29:30
168,Wilmington,34.23,-77.94,75.99,94,20,3.38,US,2020-08-24 02:26:27
169,Ndele,8.41,20.65,68.65,97,100,3.94,CF,2020-08-24 02:29:30
170,Tyup,42.73,78.36,68.74,39,25,1.41,KG,2020-08-24 02:29:30
171,Mao,39.89,4.27,75.2,60,0,17.22,ES,2020-08-24 02:29:31
172,Weligama,5.97,80.42,80.28,77,96,4.65,LK,2020-08-24 02:29:31
173,Jalu,29.03,21.55,75.16,50,0,10.0,LY,2020-08-24 02:29:31
174,Bereda,43.27,-7.54,57.99,100,34,1.01,ES,2020-08-24 02:29:31
175,Dunda,-8.12,34.25,57.02,86,49,2.86,TZ,2020-08-24 02:29:32
176,Taltal,-25.4,-70.48,50.81,76,8,1.01,CL,2020-08-24 02:29:32
177,Salinas,36.68,-121.66,66.2,72,1,10.29,US,2020-08-24 02:27:18
178,Kudahuvadhoo,2.67,72.89,82.8,67,81,3.4,MV,2020-08-24 02:29:33
179,Gambela,8.25,34.58,69.76,91,100,3.2,ET,2020-08-24 02:29:33
180,Hofn,64.25,-15.21,48.74,83,100,7.7,IS,2020-08-24 02:29:34
181,Suez,29.97,32.53,74.21,71,0,10.31,EG,2020-08-24 02:29:34
182,Zabol,32.25,67.25,69.06,61,0,6.35,AF,2020-08-24 02:29:34
183,Vavuniya,8.75,80.5,79.83,76,58,8.14,LK,2020-08-24 02:29:35
184,Sehithwa,-20.47,22.72,58.96,51,0,5.68,BW,2020-08-24 02:29:35
185,Longonjo,-12.91,15.25,57.02,68,1,0.72,AO,2020-08-24 02:29:35
186,Chokwe,-24.53,32.98,60.91,61,0,7.14,MZ,2020-08-24 02:29:35
187,Tasiilaq,65.61,-37.64,37.4,93,7,1.12,GL,2020-08-24 02:29:35
188,Pucallpa,-8.38,-74.55,71.11,68,4,0.45,PE,2020-08-24 02:29:36
189,Vucje,42.87,21.91,69.8,77,0,3.36,RS,2020-08-24 02:29:36
190,Riyadh,24.69,46.72,82.4,26,0,2.24,SA,2020-08-24 02:28:05
191,Husavik,66.04,-17.34,37.4,93,100,2.24,IS,2020-08-24 02:29:36
192,Chichli,22.83,78.82,76.95,84,94,6.53,IN,2020-08-24 02:29:37
193,Alice Town,25.72,-79.3,85.53,77,1,24.74,BS,2020-08-24 02:29:37
194,Kjopsvik,68.1,16.37,51.01,87,42,20.8,NO,2020-08-24 02:29:37
195,General Roca,-39.03,-67.58,55.4,47,40,3.36,AR,2020-08-24 02:29:37
196,Kinango,-4.14,39.32,66.74,96,2,4.32,KE,2020-08-24 02:29:38
197,Viedma,-40.81,-63.0,55.99,48,0,4.0,AR,2020-08-24 02:29:38
198,Tukrah,32.53,20.58,76.37,82,0,8.1,LY,2020-08-24 02:29:38
199,Lake City,30.19,-82.64,78.01,88,1,5.82,US,2020-08-24 02:26:29
200,Ilulissat,69.22,-51.1,39.2,80,0,3.62,GL,2020-08-24 02:27:47
201,Codrington,-38.27,141.97,50.99,64,47,11.36,AU,2020-08-24 02:29:39
202,Imbituba,-28.24,-48.67,59.0,100,40,1.12,BR,2020-08-24 02:27:02
203,Cayenne,4.93,-52.33,75.2,100,18,1.12,GF,2020-08-24 02:29:39
204,Ascension,30.22,-90.9,78.8,78,1,6.31,US,2020-08-24 02:29:39
205,Najran,17.49,44.13,82.4,24,100,2.24,SA,2020-08-24 02:29:40
206,Longyearbyen,78.22,15.64,35.6,74,34,5.82,SJ,2020-08-24 02:28:05
207,Sainte-Suzanne,-20.91,55.61,69.8,52,1,16.11,RE,2020-08-24 02:29:40
208,Montepuez,-13.13,39.0,65.5,79,93,5.55,MZ,2020-08-24 02:29:40
209,Dolores,-36.31,-57.68,52.97,85,1,11.3,AR,2020-08-24 02:29:41
210,Cururupu,-1.83,-44.87,74.62,94,70,3.09,BR,2020-08-24 02:29:41
211,Shihezi,44.3,86.03,80.04,21,55,2.91,CN,2020-08-24 02:29:42
212,Follonica,42.93,10.76,75.0,58,39,6.11,IT,2020-08-24 02:29:42
213,Chrastava,50.82,14.97,55.0,10,0,1.01,CZ,2020-08-24 02:29:43
214,Kotlyarevskaya,43.57,44.06,55.4,66,0,4.47,RU,2020-08-24 02:29:43
215,Strezhevoy,60.73,77.59,53.6,93,75,4.47,RU,2020-08-24 02:29:43
216,Oriximina,-1.77,-55.87,80.38,59,15,4.07,BR,2020-08-24 02:28:34
217,Nanortalik,60.14,-45.24,42.73,86,29,6.96,GL,2020-08-24 02:29:44
218,Saint George,37.1,-113.58,96.8,25,1,21.92,US,2020-08-24 02:29:44
219,Saint-Francois,46.42,3.91,57.2,82,97,2.33,FR,2020-08-24 02:29:44
220,Salinopolis,-0.61,-47.36,79.16,84,8,12.15,BR,2020-08-24 02:29:45
221,Kruisfontein,-34.0,24.73,54.0,88,100,5.82,ZA,2020-08-24 02:29:45
222,Akom,2.67,12.71,67.21,99,100,4.34,CM,2020-08-24 02:29:45
223,Khotkovo,56.26,38.0,62.6,63,100,6.71,RU,2020-08-24 02:29:46
224,Tarko-Sale,64.92,77.78,57.0,92,32,3.94,RU,2020-08-24 02:29:46
225,Corlu,41.16,27.8,68.0,94,5,9.17,TR,2020-08-24 02:29:46
226,Shache,38.42,77.24,81.45,16,0,6.2,CN,2020-08-24 02:29:46
227,Ballina,-28.87,153.57,66.2,34,0,6.93,AU,2020-08-24 02:29:46
228,Banda Aceh,5.56,95.32,83.1,75,79,8.63,ID,2020-08-24 02:29:47
229,Cidreira,-30.18,-50.21,60.91,83,0,15.35,BR,2020-08-24 02:29:47
230,Malangwa,26.86,85.56,85.89,64,0,0.43,NP,2020-08-24 02:29:47
231,Edd,13.93,41.69,92.05,55,99,1.23,ER,2020-08-24 02:29:47
232,Fasa,28.94,53.65,69.8,40,19,3.0,IR,2020-08-24 02:29:48
233,Beni Suef,29.07,31.1,74.12,57,0,5.93,EG,2020-08-24 02:29:48
234,Comodoro Rivadavia,-45.87,-67.5,44.6,75,40,1.12,AR,2020-08-24 02:29:48
235,Olinda,-8.01,-34.86,77.0,73,40,5.82,BR,2020-08-24 02:29:48
236,Rognan,67.1,15.39,48.0,96,43,5.77,NO,2020-08-24 02:29:49
237,Umm Lajj,25.02,37.27,81.88,56,0,7.45,SA,2020-08-24 02:29:49
238,Portsmouth,50.8,-1.09,62.01,82,100,1.01,GB,2020-08-24 02:26:35
239,Doha,25.29,51.53,91.0,89,40,3.36,QA,2020-08-24 02:29:49
240,Urengoy,65.97,78.37,55.13,94,100,1.16,RU,2020-08-24 02:29:50
241,Praia Da Vitoria,38.73,-27.07,71.6,94,20,7.63,PT,2020-08-24 02:29:50
242,Blacksburg,37.23,-80.41,69.8,100,40,4.45,US,2020-08-24 02:27:17
243,San Rafael Del Sur,11.85,-86.44,78.8,88,40,9.17,NI,2020-08-24 02:29:50
244,Trinidad,-14.83,-64.9,68.79,56,0,3.18,BO,2020-08-24 02:25:33
245,Sinnamary,5.38,-52.95,79.56,85,31,10.4,GF,2020-08-24 02:29:51
246,Gurupi,-11.73,-49.07,79.21,42,1,4.7,BR,2020-08-24 02:29:52
247,Necochea,-38.55,-58.74,48.99,80,50,10.0,AR,2020-08-24 02:29:52
248,Teguldet,57.31,88.17,58.33,81,86,3.33,RU,2020-08-24 02:29:26
249,Chimbote,-9.09,-78.58,60.44,85,0,8.84,PE,2020-08-24 02:29:53
250,Wajid,3.81,43.25,71.01,73,22,21.25,SO,2020-08-24 02:29:53
251,Woodstock,43.13,-80.75,72.0,83,5,3.36,CA,2020-08-24 02:29:53
252,Kirov,58.6,49.66,55.53,96,97,4.74,RU,2020-08-24 02:29:53
253,Pytalovo,57.07,27.91,54.97,96,100,7.31,RU,2020-08-24 02:29:53
254,Agadez,19.75,10.25,86.56,43,81,10.18,NE,2020-08-24 02:29:54
255,Fatehpur Sikri,27.1,77.67,80.1,84,34,10.63,IN,2020-08-24 02:29:54
256,Knysna,-34.04,23.05,55.4,100,100,5.82,ZA,2020-08-24 02:29:54
257,Leh,34.17,77.58,65.16,23,0,2.84,IN,2020-08-24 02:29:54
258,Onega,63.91,38.14,55.69,95,6,6.51,RU,2020-08-24 02:29:55
259,Normandin,48.83,-72.53,62.6,77,40,4.7,CA,2020-08-24 02:29:55
260,Berlevag,70.86,29.09,53.98,90,99,8.81,NO,2020-08-24 02:29:55
261,Grindavik,63.84,-22.43,46.4,93,0,4.7,IS,2020-08-24 02:29:05
262,Borovskoy,53.8,64.15,51.01,92,0,5.84,KZ,2020-08-24 02:29:55
263,Loandjili,-4.76,11.86,75.2,88,90,2.24,CG,2020-08-24 02:29:56
264,Bonthe,7.53,-12.51,76.15,90,100,8.63,SL,2020-08-24 02:29:56
265,Svetlyy,54.67,20.13,57.2,93,0,4.47,RU,2020-08-24 02:29:56
266,Ancud,-41.87,-73.82,41.0,100,90,13.87,CL,2020-08-24 02:29:56
267,Souillac,-20.52,57.52,71.6,73,40,16.11,MU,2020-08-24 02:29:57
268,Mankapur,27.03,82.23,82.56,73,8,2.51,IN,2020-08-24 02:29:57
269,Chipata,-13.63,32.65,57.33,81,95,6.2,ZM,2020-08-24 02:29:57
270,Malakal,9.53,31.66,71.46,92,100,1.68,SS,2020-08-24 02:29:57
271,Tharad,24.4,71.63,80.6,89,100,9.89,IN,2020-08-24 02:29:58
272,Dharchula,29.85,80.53,72.25,73,52,2.06,IN,2020-08-24 02:29:58
273,Palmas Bellas,9.23,-80.09,80.6,83,100,2.24,PA,2020-08-24 02:29:58
274,Samana,19.21,-69.34,79.75,90,100,8.03,DO,2020-08-24 02:29:59
275,San Rafael,-34.62,-68.33,53.46,36,0,1.23,AR,2020-08-24 02:29:59
276,Calabozo,8.92,-67.43,74.97,90,94,2.77,VE,2020-08-24 02:29:59
277,Merrill,45.18,-89.68,75.2,94,1,4.7,US,2020-08-24 02:30:00
278,Lakefield,43.68,-95.17,82.0,83,1,6.96,US,2020-08-24 02:30:00
279,Sulur,11.03,77.13,77.0,88,75,5.82,IN,2020-08-24 02:30:00
280,Pafos,34.77,32.42,69.8,60,0,5.82,CY,2020-08-24 02:30:01
281,Grajau,-5.82,-46.14,72.99,74,25,0.96,BR,2020-08-24 02:30:01
282,Vargem Grande,-3.54,-43.92,73.08,94,20,3.58,BR,2020-08-24 02:30:01
283,Yar-Sale,66.83,70.83,53.87,86,86,13.56,RU,2020-08-24 02:30:02
284,Brumadinho,-20.14,-44.2,59.0,76,40,4.7,BR,2020-08-24 02:30:02
285,Gravdal,68.12,13.5,52.29,79,38,17.07,NO,2020-08-24 02:30:02
286,Cap Malheureux,-19.98,57.61,71.01,73,41,5.99,MU,2020-08-24 02:30:03
287,Marmande,44.5,0.17,61.0,88,19,4.74,FR,2020-08-24 02:30:03
288,Prieska,-29.66,22.75,54.23,47,30,5.97,ZA,2020-08-24 02:30:03
289,Camacha,33.08,-16.33,71.6,83,40,11.41,PT,2020-08-24 02:30:04
290,Muros,42.78,-9.06,62.01,85,1,9.93,ES,2020-08-24 02:30:04
291,Kuytun,54.34,101.5,66.45,56,0,2.55,RU,2020-08-24 02:30:04
292,Nguru,12.88,10.45,75.13,83,91,12.39,NG,2020-08-24 02:30:05
293,Gandorhun,7.5,-11.83,73.11,98,100,4.85,SL,2020-08-24 02:30:05
294,Florianopolis,-27.61,-48.5,62.01,100,40,1.12,BR,2020-08-24 02:30:05
295,Togur,58.36,82.83,56.89,84,100,2.62,RU,2020-08-24 02:30:05
296,Abu Dhabi,24.47,54.37,91.4,66,29,2.24,AE,2020-08-24 02:27:58
297,Matara,5.95,80.54,82.81,71,95,6.11,LK,2020-08-24 02:30:06
298,Dennery,13.9,-60.89,82.4,83,75,14.99,LC,2020-08-24 02:30:06
299,Sukhobezvodnoye,57.05,44.89,56.59,83,100,5.86,RU,2020-08-24 02:30:06
300,Kargasok,59.06,80.86,57.02,76,99,5.97,RU,2020-08-24 02:30:06
301,Ayorou,14.73,0.92,84.78,60,100,17.6,NE,2020-08-24 02:30:06
302,Itarema,-2.92,-39.92,76.96,80,38,16.08,BR,2020-08-24 02:30:07
303,El Sauce,12.89,-86.54,75.16,91,98,1.74,NI,2020-08-24 02:30:07
304,Farah,32.5,62.5,89.17,12,0,2.44,AF,2020-08-24 02:30:07
305,Nouakchott,18.09,-15.98,82.4,74,75,13.87,MR,2020-08-24 02:30:08
306,Orleans,30.03,-89.95,82.0,85,53,1.01,US,2020-08-24 02:30:08
307,Saint-Joseph,-21.37,55.62,66.2,59,30,5.82,RE,2020-08-24 02:30:08
